Year_Week,Year,Week_Number,Week_Start_Date,Start_Adj_close,Label,Week_End_Date,End_Adj_Close,mean_return,volatility,Weekly_Return
2019-00,2019,0,1/2/2019,24.25,Red,1/4/2019,24.85,1.283,2.878,0.0
2019-01,2019,1,1/7/2019,24.83,Green,1/11/2019,25.29,0.351,0.664,1.771
2019-02,2019,2,1/14/2019,25.62,Red,1/18/2019,28.47,2.422,2.683,12.574
2019-03,2019,3,1/22/2019,28.26,Red,1/25/2019,28.74,0.243,1.137,0.948
2019-04,2019,4,1/28/2019,28.79,Red,2/1/2019,27.57,-0.822,0.844,-4.071
2019-05,2019,5,2/4/2019,28.06,Red,2/8/2019,27.49,-0.057,1.243,-0.29
2019-06,2019,6,2/11/2019,27.6,Red,2/15/2019,28.28,0.58,1.329,2.874
2019-07,2019,7,2/19/2019,28.3,Green,2/22/2019,28.25,-0.024,0.732,-0.106
2019-08,2019,8,2/25/2019,28.44,Green,3/1/2019,28.62,0.262,0.779,1.31
2019-09,2019,9,3/4/2019,28.35,Red,3/8/2019,27.98,-0.453,0.658,-2.236
2019-10,2019,10,3/11/2019,28.26,Green,3/15/2019,28.61,0.452,0.724,2.252
2019-11,2019,11,3/18/2019,29.12,Red,3/22/2019,26.38,-1.592,2.357,-7.794
2019-12,2019,12,3/25/2019,26.21,Green,3/29/2019,26.94,0.43,0.993,2.123
2019-13,2019,13,4/1/2019,27.87,Red,4/5/2019,28.4,1.066,1.478,5.419
2019-14,2019,14,4/8/2019,28.48,Red,4/12/2019,29.46,0.751,1.796,3.732
2019-15,2019,15,4/15/2019,29.14,Red,4/18/2019,29.32,-0.114,0.687,-0.475
2019-16,2019,16,4/22/2019,29.34,Green,4/26/2019,29.64,0.213,0.405,1.091
2019-17,2019,17,4/29/2019,30.05,Green,5/3/2019,29.99,0.24,1.025,1.181
2019-18,2019,18,5/6/2019,29.75,Red,5/10/2019,28.89,-0.745,0.619,-3.668
2019-19,2019,19,5/13/2019,27.59,Red,5/17/2019,27.73,-0.789,2.33,-4.015
2019-20,2019,20,5/20/2019,27.73,Red,5/24/2019,27.52,-0.145,1.603,-0.757
2019-21,2019,21,5/28/2019,27.24,Red,5/31/2019,25.98,-1.43,0.79,-5.596
2019-22,2019,22,6/3/2019,26.05,Red,6/7/2019,27.03,0.818,2.242,4.042
2019-23,2019,23,6/10/2019,27.56,Green,6/14/2019,27.53,0.372,1.084,1.85
2019-24,2019,24,6/17/2019,27.42,Red,6/21/2019,27.61,0.065,1.383,0.291
2019-25,2019,25,6/24/2019,27.47,Red,6/28/2019,28.47,0.626,1.431,3.115
2019-26,2019,26,7/1/2019,28.88,Green,7/5/2019,28.73,0.228,1.06,0.913
2019-27,2019,27,7/8/2019,28.67,Green,7/12/2019,28.91,0.132,0.859,0.627
2019-28,2019,28,7/15/2019,28.69,Green,7/19/2019,28.86,-0.031,0.831,-0.173
2019-29,2019,29,7/22/2019,29.03,Red,7/26/2019,30.21,0.922,1.272,4.678
2019-30,2019,30,7/29/2019,29.96,Red,8/2/2019,28.85,-0.906,1.849,-4.502
2019-31,2019,31,8/5/2019,27.57,Red,8/9/2019,27.81,-0.7,2.51,-3.605
2019-32,2019,32,8/12/2019,27.14,Red,8/16/2019,26.54,-0.902,2.88,-4.567
2019-33,2019,33,8/19/2019,26.77,Red,8/23/2019,25.99,-0.405,1.775,-2.072
2019-34,2019,34,8/26/2019,26.29,Green,8/30/2019,27.01,0.779,1.158,3.925
2019-35,2019,35,9/3/2019,26.56,Red,9/6/2019,27.4,0.383,2.278,1.444
2019-36,2019,36,9/9/2019,28.29,Green,9/13/2019,29.82,1.707,1.202,8.832
2019-37,2019,37,9/16/2019,29.78,Red,9/20/2019,29.24,-0.387,0.407,-1.945
2019-38,2019,38,9/23/2019,29.17,Red,9/27/2019,29.01,-0.157,1.192,-0.787
2019-39,2019,39,9/30/2019,28.83,Red,10/4/2019,28.04,-0.664,1.799,-3.344
2019-40,2019,40,10/7/2019,27.98,Red,10/11/2019,28.57,0.39,1.774,1.89
2019-41,2019,41,10/14/2019,28.8,Green,10/18/2019,29.99,0.979,0.759,4.97
2019-42,2019,42,10/21/2019,30.66,Green,10/25/2019,31.35,0.89,0.881,4.535
2019-43,2019,43,10/28/2019,31.47,Red,11/1/2019,31.43,0.057,1.296,0.255
2019-44,2019,44,11/4/2019,32.02,Green,11/8/2019,32.87,0.905,0.861,4.582
2019-45,2019,45,11/11/2019,32.79,Red,11/15/2019,32.54,-0.198,0.576,-1.004
2019-46,2019,46,11/18/2019,32.57,Green,11/22/2019,32.79,0.153,0.662,0.768
2019-47,2019,47,11/25/2019,33.08,Green,11/29/2019,32.93,0.107,0.572,0.427
2019-48,2019,48,12/2/2019,33.04,Red,12/6/2019,33.46,0.325,1.303,1.609
2019-49,2019,49,12/9/2019,33.3,Red,12/13/2019,34.22,0.462,1.525,2.271
2019-50,2019,50,12/16/2019,34.48,Green,12/20/2019,34.74,0.301,0.575,1.52
2019-51,2019,51,12/23/2019,34.95,Green,12/27/2019,35.13,0.279,0.584,1.123
2019-52,2019,52,12/30/2019,34.93,Green,12/31/2019,35.0,-0.183,0.541,-0.37
